0j,(1+0j),0j,0j,0j
0j,0j,(1.4142135623730951+0j),0j,0j
0j,0j,0j,(1.7320508075688772+0j),0j
0j,0j,0j,0j,(2+0j)
0j,0j,0j,0j,0j
