(0.9900468278393408-6.387050276846373e-13j),(-5.464798992787236e-14+1.7236192239882473e-13j),0j,0j
(1.4162781844490788e-11-3.391155275128696e-13j),(0.016698886829397845-3.390446041584431e-13j),0j,0j
0j,0j,(0.016698883581666456-3.388540255702549e-13j),(-5.606911581658007e-09-2.7456274775597125e-13j)
0j,0j,(1.6989043785864783e-07-1.6241710554682375e-13j),(0.9900466152698875-6.444191299226089e-13j)
